Name,Contact,Address,Website,Google Maps URL
Biker's Barn,07875777728,"Shop number 5-6, Jeet Ground, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Biker%27s+Barn/data=!4m7!3m6!1s0x3bc2bf000e5feb61:0x410a0c64c5040ddd!8m2!3d18.507681!4d73.804777!16s%2Fg%2F11xcx8yz8f!19sChIJYetfDgC_wjsR3Q0ExWQMCkE?authuser=0&hl=en&rclk=1
Swami Auto Garrage,09011195319,"Paud Phata Rd, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Swami+Auto+Garrage/data=!4m7!3m6!1s0x3bc2bf734b537077:0xc16e74b512b3c492!8m2!3d18.5058627!4d73.8245485!16s%2Fg%2F11tw_p0v70!19sChIJd3BTS3O_wjsRksSzErV0bsE?authuser=0&hl=en&rclk=1
Speedy Auto Garage,08411834662,"Shop No 14, Shanti Heights, near Eklavya Collage, Shantiban Cooperative Housing Society, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Speedy+Auto+Garage/data=!4m7!3m6!1s0x3bc2bfb53facf227:0x5781956c4bdb12ca!8m2!3d18.5031189!4d73.7962181!16s%2Fg%2F11t55_f10k!19sChIJJ_KsP7W_wjsRyhLbS2yVgVc?authuser=0&hl=en&rclk=1
Bike Age Point,09823331741,"S.No. 78/3, Shop No.3, Kalgram, Paud Rd, Right Bhusari Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bike+Age+Point/data=!4m7!3m6!1s0x3bc2be4c6689e433:0xbabc38cf8aedd36d!8m2!3d18.5081761!4d73.7911555!16s%2Fg%2F1pp2w_40p!19sChIJM-SJZky-wjsRbdPtis84vLo?authuser=0&hl=en&rclk=1
Shree sadguru Auto garage,,"Bharti aprtment, 3, Left Bhusari Colony, Bharti Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Shree+sadguru+Auto+garage/data=!4m7!3m6!1s0x3bc2bf0057acc283:0xa8e6ff18e4b98fb4!8m2!3d18.5076434!4d73.7967313!16s%2Fg%2F11z92xzywq!19sChIJg8KsVwC_wjsRtI-55Bj_5qg?authuser=0&hl=en&rclk=1
Kaveri Enterprises,08888297071,"A2 Shop No 1 Bandal Complex, Near PMT Depo Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Kaveri+Enterprises/data=!4m7!3m6!1s0x3bc2bfb3673dfb3d:0x7652ff992baab2c1!8m2!3d18.5075656!4d73.7957128!16s%2Fg%2F11b76ltjdr!19sChIJPfs9Z7O_wjsRwbKqK5n_UnY?authuser=0&hl=en&rclk=1
Mobike Service,09325132236,"SHOP NO 66, A2 BUILDING, GIRIJA SHANKAR VIHAR, Meenatai Thakre Nagar, Girija Shankar Vihar, Ganesh Nagar, Karvenagar, Pune, Maharashtra 411052",,https://www.google.com/maps/place/Mobike+Service/data=!4m7!3m6!1s0x3bc2bfe96b58ea31:0xfc2e3bb218bc4e5d!8m2!3d18.4966278!4d73.8223826!16s%2Fg%2F12mkvm_4r!19sChIJMepYa-m_wjsRXU68GLI7Lvw?authuser=0&hl=en&rclk=1
Shre Sadguru Outo Garage,07796513871,"Left Bhusari Colony, Bharti Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Shre+Sadguru+Outo+Garage/data=!4m7!3m6!1s0x3bc2bf004df98eb3:0xae697f2c3948111e!8m2!3d18.5069596!4d73.7966899!16s%2Fg%2F11zfvrq39l!19sChIJs475TQC_wjsRHhFIOSx_aa4?authuser=0&hl=en&rclk=1
Morya Two Wheeler service centre,09503148848,"B1 building, Shop no.1, near Sharda niketan girls hostel, Girija Shankar Vihar, Pune, Maharashtra 411052",,https://www.google.com/maps/place/Morya+Two+Wheeler+service+centre/data=!4m7!3m6!1s0x3bc2bfb64fafec05:0xcffcc70ebbfd6485!8m2!3d18.494937!4d73.8234252!16s%2Fg%2F11y65p8k2w!19sChIJBeyvT7a_wjsRhWT9uw7H_M8?authuser=0&hl=en&rclk=1
Bikes Point,09764161371,"Paud Road, Right Bhusari Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bikes+Point/data=!4m7!3m6!1s0x3bc2be4c9a3b63c1:0x3cf908aaf4b4ccdc!8m2!3d18.5075985!4d73.7929406!16s%2Fg%2F11k3gcmt0k!19sChIJwWM7mky-wjsR3My09KoI-Tw?authuser=0&hl=en&rclk=1
